txn_id,date,description,amount,account_type
1,2025-09-30,STARBUCKS COFFEE #123,-94.99,Checking
2,2025-10-19,NETFLIX.COM,-59.19,Credit Card
3,2025-07-05,WALMART GROCERY,-38.19,Checking
4,2025-05-06,SALARY DEPOSIT,-64.78,Checking
5,2025-01-30,STARBUCKS COFFEE #123,-10.49,Credit Card
6,2025-01-15,STARBUCKS COFFEE #123,-17.65,Checking
7,2025-11-15,NETFLIX.COM,-55.1,Checking
8,2025-02-19,AMAZON MKTPLACE,-61.94,Credit Card
9,2025-10-19,WALMART GROCERY,-6.79,Checking
10,2025-12-14,NETFLIX.COM,-33.83,Checking
11,2025-07-15,SALARY DEPOSIT,-90.26,Credit Card
12,2025-10-08,SALARY DEPOSIT,-39.77,Checking
13,2025-09-12,DUNKIN DONUTS STORE 44,-55.34,Checking
14,2025-12-18,DUNKIN DONUTS STORE 44,-45.37,Credit Card
15,2025-09-22,NETFLIX.COM,-44.24,Checking
16,2025-05-07,STARBUCKS COFFEE #123,-5.43,Checking
17,2025-10-30,SALARY DEPOSIT,-74.23,Checking
18,2025-09-30,SALARY DEPOSIT,-52.42,Checking
19,2025-10-15,AMAZON MKTPLACE,-83.91,Credit Card
20,2025-09-09,AMAZON MKTPLACE,-64.27,Credit Card
21,2025-10-23,WALMART GROCERY,-25.87,Credit Card
22,2025-10-25,SALARY DEPOSIT,-13.66,Credit Card
23,2025-11-22,NETFLIX.COM,-61.48,Checking
24,2025-09-22,WALMART GROCERY,-6.46,Checking
25,2025-08-25,APARTMENT RENT,-64.33,Credit Card
26,2025-11-19,SALARY DEPOSIT,-34.13,Checking
27,2025-07-17,NETFLIX.COM,-86.81,Credit Card
28,2025-01-05,AMAZON MKTPLACE,-50.83,Checking
29,2025-05-20,STARBUCKS COFFEE #123,-18.86,Checking
30,2025-12-09,NETFLIX.COM,-25.48,Credit Card
31,2025-05-14,STARBUCKS COFFEE #123,-25.23,Checking
32,2025-10-02,AMAZON MKTPLACE,-70.55,Credit Card
33,2025-04-22,AMAZON MKTPLACE,-26.27,Checking
34,2025-06-27,SALARY DEPOSIT,-10.02,Checking
35,2025-09-24,WALMART GROCERY,-53.97,Credit Card
36,2025-03-10,WALMART GROCERY,-72.85,Checking
37,2025-09-09,DUNKIN DONUTS STORE 44,-75.37,Credit Card
38,2025-12-23,STARBUCKS COFFEE #123,-71.62,Credit Card
39,2025-06-14,APARTMENT RENT,-95.95,Checking
40,2025-02-07,AMAZON MKTPLACE,-83.61,Checking
41,2025-08-04,WALMART GROCERY,-53.58,Credit Card
42,2025-01-23,APARTMENT RENT,-72.45,Checking
43,2025-05-29,DUNKIN DONUTS STORE 44,-59.74,Checking
44,2025-12-25,STARBUCKS COFFEE #123,-65.01,Credit Card
45,2025-01-23,APARTMENT RENT,-73.24,Credit Card
46,2025-02-21,AMAZON MKTPLACE,-84.44,Checking
47,2025-04-23,DUNKIN DONUTS STORE 44,-21.99,Credit Card
48,2025-04-07,STARBUCKS COFFEE #123,-21.54,Checking
49,2025-04-29,STARBUCKS COFFEE #123,-24.18,Credit Card
50,2025-04-25,NETFLIX.COM,-55.02,Credit Card
51,2025-07-11,DUNKIN DONUTS STORE 44,-13.44,Checking
52,2025-09-04,WALMART GROCERY,-79.73,Checking
53,2025-10-09,WALMART GROCERY,-24.74,Credit Card
54,2025-03-24,SALARY DEPOSIT,-34.73,Checking
55,2025-03-08,DUNKIN DONUTS STORE 44,-82.79,Checking
56,2025-01-19,WALMART GROCERY,-55.81,Checking
57,2025-01-29,STARBUCKS COFFEE #123,-42.17,Credit Card
58,2025-03-25,NETFLIX.COM,-99.23,Checking
59,2025-06-26,DUNKIN DONUTS STORE 44,-18.22,Checking
60,2025-10-19,DUNKIN DONUTS STORE 44,-10.58,Checking
61,2025-01-04,AMAZON MKTPLACE,-47.82,Checking
62,2025-07-10,WALMART GROCERY,-97.27,Credit Card
63,2025-11-22,SALARY DEPOSIT,-24.33,Checking
64,2025-03-18,STARBUCKS COFFEE #123,-80.42,Credit Card
65,2025-05-17,AMAZON MKTPLACE,-5.17,Checking
66,2025-07-18,NETFLIX.COM,-88.36,Checking
67,2025-01-04,SALARY DEPOSIT,-83.07,Checking
68,2025-10-04,STARBUCKS COFFEE #123,-10.6,Credit Card
69,2025-05-01,AMAZON MKTPLACE,-94.39,Credit Card
70,2025-07-25,SALARY DEPOSIT,-54.98,Checking
71,2025-12-24,NETFLIX.COM,-74.38,Checking
72,2025-06-20,SALARY DEPOSIT,-89.04,Checking
73,2025-09-26,NETFLIX.COM,-81.7,Credit Card
74,2025-03-08,AMAZON MKTPLACE,-12.3,Credit Card
75,2025-04-03,WALMART GROCERY,-56.75,Credit Card
76,2025-12-24,DUNKIN DONUTS STORE 44,-80.35,Credit Card
77,2025-12-08,DUNKIN DONUTS STORE 44,-72.58,Credit Card
78,2025-01-18,STARBUCKS COFFEE #123,-92.22,Checking
79,2025-06-20,AMAZON MKTPLACE,-24.62,Checking
80,2025-07-17,SALARY DEPOSIT,-46.75,Credit Card
81,2025-10-02,NETFLIX.COM,-31.35,Credit Card
82,2025-02-06,APARTMENT RENT,-17.97,Checking
83,2025-12-14,SALARY DEPOSIT,-60.35,Credit Card
84,2025-09-19,SALARY DEPOSIT,-20.43,Credit Card
85,2025-05-29,DUNKIN DONUTS STORE 44,-31.34,Credit Card
86,2025-11-19,STARBUCKS COFFEE #123,-89.67,Credit Card
87,2025-05-26,WALMART GROCERY,-11.21,Checking
88,2025-10-10,AMAZON MKTPLACE,-28.79,Credit Card
89,2025-04-07,AMAZON MKTPLACE,-30.39,Credit Card
90,2025-09-07,STARBUCKS COFFEE #123,-24.48,Credit Card
91,2025-09-29,WALMART GROCERY,-44.74,Checking
92,2025-03-12,APARTMENT RENT,-28.73,Checking
93,2025-06-26,NETFLIX.COM,-26.77,Checking
94,2025-07-12,APARTMENT RENT,-27.43,Checking
95,2025-11-26,AMAZON MKTPLACE,-56.01,Credit Card
96,2025-03-30,NETFLIX.COM,-29.88,Checking
97,2025-08-04,WALMART GROCERY,-38.7,Credit Card
98,2025-02-02,WALMART GROCERY,-27.7,Checking
99,2025-09-07,APARTMENT RENT,-28.9,Checking
100,2025-06-07,NETFLIX.COM,-46.12,Checking
101,2025-01-13,SALARY DEPOSIT,-48.34,Credit Card
102,2025-07-01,WALMART GROCERY,-6.59,Credit Card
103,2025-10-09,DUNKIN DONUTS STORE 44,-69.29,Credit Card
104,2025-07-13,NETFLIX.COM,-68.63,Credit Card
105,2025-01-12,AMAZON MKTPLACE,-55.36,Credit Card
106,2025-12-15,APARTMENT RENT,-87.08,Checking
107,2025-08-03,AMAZON MKTPLACE,-69.8,Credit Card
108,2025-10-21,NETFLIX.COM,-64.23,Credit Card
109,2025-07-06,STARBUCKS COFFEE #123,-52.07,Credit Card
110,2025-03-07,WALMART GROCERY,-81.29,Checking
111,2025-05-24,NETFLIX.COM,-50.39,Credit Card
112,2025-08-08,AMAZON MKTPLACE,-42.84,Credit Card
113,2025-10-30,AMAZON MKTPLACE,-25.21,Checking
114,2025-07-04,APARTMENT RENT,-65.48,Credit Card
115,2025-04-14,WALMART GROCERY,-31.8,Checking
116,2025-12-08,SALARY DEPOSIT,-80.95,Credit Card
117,2025-08-31,DUNKIN DONUTS STORE 44,-74.39,Checking
118,2025-10-03,NETFLIX.COM,-93.97,Checking
119,2025-02-27,SALARY DEPOSIT,-10.89,Credit Card
120,2025-02-28,WALMART GROCERY,-83.76,Credit Card
121,2025-05-26,AMAZON MKTPLACE,-56.88,Credit Card
122,2025-08-20,SALARY DEPOSIT,-31.85,Checking
123,2025-07-04,NETFLIX.COM,-93.59,Credit Card
124,2025-05-27,NETFLIX.COM,-52.48,Credit Card
125,2025-05-06,NETFLIX.COM,-83.5,Credit Card
126,2025-11-21,STARBUCKS COFFEE #123,-63.19,Checking
127,2025-02-19,STARBUCKS COFFEE #123,-67.04,Checking
128,2025-12-15,NETFLIX.COM,-98.79,Checking
129,2025-09-16,STARBUCKS COFFEE #123,-20.27,Checking
130,2025-02-19,STARBUCKS COFFEE #123,-76.27,Checking
131,2025-01-18,AMAZON MKTPLACE,-94.6,Checking
